,Name,Position,Age,Markey Value In Millions(£),Country,Club,Matches,Goals,Own Goals,Assists,Yellow Cards,Second Yellow Cards,Red Cards,Number Of Substitute In,Number Of Substitute Out
0,Kylian Mbappé,Centre-Forward,22,144.0,France,Paris Saint-Germain,16,7,0,11,3,0,0,0,8
1,Erling Haaland,Centre-Forward,21,135.0,Norway,Borussia Dortmund,10,13,0,4,1,0,0,0,1
2,Harry Kane,Centre-Forward,28,108.0,England,Tottenham Hotspur,16,7,0,2,2,0,0,2,2
3,Jack Grealish,Left Winger,26,90.0,England,Manchester City,15,2,0,3,1,0,0,2,8
4,Mohamed Salah,Right Winger,29,90.0,Egypt,Liverpool FC,15,15,0,6,1,0,0,0,3
5,Romelu Lukaku,Centre-Forward,28,90.0,Belgium,Chelsea FC,11,4,0,1,0,0,0,1,2
6,Kevin De Bruyne,Attacking Midfield,30,90.0,Belgium,Manchester City,14,3,0,1,1,0,0,4,6
7,Neymar,Left Winger,29,90.0,Brazil,Paris Saint-Germain,11,3,0,3,3,0,0,0,3
8,Jadon Sancho,Left Winger,21,81.0,England,Manchester United,13,0,0,0,0,0,0,7,5
9,Frenkie de Jong,Central Midfield,24,81.0,Netherlands,FC Barcelona,13,0,0,2,2,1,0,0,2
10,Bruno Fernandes,Attacking Midfield,27,81.0,Portugal,Manchester United,18,5,0,8,3,0,0,3,5
11,Joshua Kimmich,Defensive Midfield,26,81.0,Germany,Bayern Munich,18,3,0,4,1,0,0,0,3
12,Raheem Sterling,Left Winger,26,81.0,England,Manchester City,15,2,0,2,0,0,0,9,2
13,Marcus Rashford,Left Winger,24,76.5,England,Manchester United,6,3,0,0,0,0,0,3,3
14,Sadio Mané,Left Winger,29,76.5,Senegal,Liverpool FC,15,8,0,0,1,0,0,2,3
15,Heung-min Son,Left Winger,29,76.5,"Korea, South",Tottenham Hotspur,15,5,0,2,1,0,0,4,4
16,Pedri,Central Midfield,18,72.0,Spain,FC Barcelona,5,0,0,0,0,0,0,1,2
17,Phil Foden,Central Midfield,21,72.0,England,Manchester City,13,5,0,4,0,0,0,4,3
18,Lautaro Martínez,Centre-Forward,24,72.0,Argentina,Inter Milan,15,5,0,1,3,0,0,2,12
19,Marcos Llorente,Central Midfield,26,72.0,Spain,Atlético de Madrid,11,0,0,0,1,0,0,1,2
20,Lionel Messi,Right Winger,34,72.0,Argentina,Paris Saint-Germain,8,3,0,0,1,0,0,1,2
21,Mason Mount,Attacking Midfield,22,67.5,England,Chelsea FC,13,3,0,2,0,0,0,6,3
22,Trent Alexander-Arnold,Right-Back,23,67.5,England,Liverpool FC,12,1,0,7,1,0,0,0,3
23,Rúben Dias,Centre-Back,24,67.5,Portugal,Manchester City,16,0,0,2,3,0,0,2,0
24,Marquinhos,Centre-Back,27,67.5,Brazil,Paris Saint-Germain,13,1,0,1,2,0,0,0,0
25,Jude Bellingham,Central Midfield,18,63.0,England,Borussia Dortmund,18,3,0,7,4,0,0,0,6
26,João Félix,Second Striker,22,63.0,Portugal,Atlético de Madrid,11,1,0,2,3,1,0,5,4
27,Alphonso Davies,Left-Back,21,63.0,Canada,Bayern Munich,15,0,0,5,1,0,0,0,6
28,Achraf Hakimi,Right-Back,23,63.0,Morocco,Paris Saint-Germain,17,3,0,2,2,0,1,2,1
29,Declan Rice,Defensive Midfield,22,63.0,England,West Ham United,15,3,0,3,4,0,0,0,2
30,Rodri,Defensive Midfield,25,63.0,Spain,Manchester City,14,1,0,0,2,0,0,1,2
31,Mikel Oyarzabal,Left Winger,24,63.0,Spain,Real Sociedad,11,6,0,1,1,0,0,1,6
32,Federico Chiesa,Right Winger,24,63.0,Italy,Juventus FC,13,3,0,2,0,0,0,3,6
33,Matthijs de Ligt,Centre-Back,22,63.0,Netherlands,Juventus FC,12,1,0,0,1,0,0,1,1
34,Kai Havertz,Attacking Midfield,22,63.0,Germany,Chelsea FC,16,4,0,2,0,0,0,5,5
35,Sergej Milinković-Savić,Central Midfield,26,63.0,Serbia,SS Lazio,17,4,0,4,3,0,0,5,7
36,Bernardo Silva,Attacking Midfield,27,63.0,Portugal,Manchester City,16,3,0,1,3,0,0,2,6
37,Raphaël Varane,Centre-Back,28,63.0,France,Manchester United,9,0,0,1,1,0,0,1,1
38,Serge Gnabry,Right Winger,26,63.0,Germany,Bayern Munich,18,8,0,4,0,0,0,6,10
39,Leon Goretzka,Central Midfield,26,63.0,Germany,Bayern Munich,14,2,0,2,0,0,0,0,7
40,Jan Oblak,Goalkeeper,28,63.0,Slovenia,Atlético de Madrid,16,0,0,0,0,0,0,0,0
41,Casemiro,Defensive Midfield,29,63.0,Brazil,Real Madrid,15,0,0,1,4,0,0,1,2
42,Florian Wirtz,Attacking Midfield,18,58.5,Germany,Bayer 04 Leverkusen,14,7,0,7,2,0,0,4,8
43,Bukayo Saka,Left Midfield,20,58.5,England,Arsenal FC,13,2,0,2,1,0,0,2,7
44,Federico Valverde,Central Midfield,23,58.5,Uruguay,Real Madrid,12,0,0,1,0,0,0,2,4
45,Gianluigi Donnarumma,Goalkeeper,22,58.5,Italy,Paris Saint-Germain,7,0,0,0,2,0,0,0,0
46,Nicolò Barella,Central Midfield,24,58.5,Italy,Inter Milan,16,1,0,6,3,0,0,0,8
47,Andrew Robertson,Left-Back,27,58.5,Scotland,Liverpool FC,12,0,0,2,2,0,0,1,2
48,Ansu Fati,Left Winger,19,54.0,Spain,FC Barcelona,8,4,0,1,0,0,0,4,4
49,Jules Koundé,Centre-Back,23,54.0,France,Sevilla FC,13,0,0,0,0,0,0,0,0
50,Victor Osimhen,Centre-Forward,22,54.0,Nigeria,SSC Napoli,13,9,0,2,2,0,1,2,6
51,Gabriel Jesus,Centre-Forward,24,54.0,Brazil,Manchester City,14,4,0,5,0,0,0,5,4
52,Dayot Upamecano,Centre-Back,23,54.0,France,Bayern Munich,16,0,0,4,5,0,0,1,2
53,Alessandro Bastoni,Centre-Back,22,54.0,Italy,Inter Milan,15,0,0,1,2,0,0,1,6
54,Wilfred Ndidi,Defensive Midfield,24,54.0,Nigeria,Leicester City,11,0,0,0,2,1,0,1,0
55,José María Giménez,Centre-Back,26,54.0,Uruguay,Atlético de Madrid,13,0,0,0,4,0,0,1,1
56,Fabinho,Defensive Midfield,28,54.0,Brazil,Liverpool FC,11,1,0,1,2,0,0,2,2
57,Milan Skriniar,Centre-Back,26,54.0,Slovakia,Inter Milan,15,3,0,0,2,0,0,0,0
58,Leroy Sané,Left Winger,25,54.0,Germany,Bayern Munich,18,8,0,10,2,0,0,3,11
59,Paul Pogba,Central Midfield,28,54.0,France,Manchester United,13,0,0,7,4,0,1,3,4
60,Thibaut Courtois,Goalkeeper,29,54.0,Belgium,Real Madrid,16,0,0,0,1,0,0,0,0
61,Alisson,Goalkeeper,29,54.0,Brazil,Liverpool FC,14,0,1,0,0,0,0,0,0
62,Koke,Central Midfield,29,54.0,Spain,Atlético de Madrid,13,0,0,1,3,0,0,0,4
63,Robert Lewandowski,Centre-Forward,33,54.0,Poland,Bayern Munich,17,23,0,2,0,0,0,0,5
64,Eduardo Camavinga,Central Midfield,19,49.5,France,Real Madrid,20,2,0,1,5,0,0,11,5
65,Richarlison,Centre-Forward,24,49.5,Brazil,Everton FC,7,2,0,1,4,0,0,1,2
66,Franck Kessié,Central Midfield,24,49.5,Cote d'Ivoire,AC Milan,12,2,0,0,1,1,0,2,3
67,Youri Tielemans,Central Midfield,24,49.5,Belgium,Leicester City,17,3,0,3,2,0,0,1,3
68,Kingsley Coman,Right Winger,25,49.5,France,Bayern Munich,11,2,0,1,0,0,0,6,5
69,N'Golo Kanté,Defensive Midfield,30,49.5,France,Chelsea FC,10,1,0,0,1,0,0,2,7
70,João Cancelo,Right-Back,27,49.5,Portugal,Manchester City,17,2,0,5,4,0,0,1,1
71,Timo Werner,Centre-Forward,25,49.5,Germany,Chelsea FC,10,2,0,1,1,0,0,3,2
72,Virgil van Dijk,Centre-Back,30,49.5,Netherlands,Liverpool FC,14,0,0,1,0,0,0,0,0
73,Marco Verratti,Central Midfield,29,49.5,Italy,Paris Saint-Germain,7,0,0,0,4,0,0,0,5
74,Marc-André ter Stegen,Goalkeeper,29,49.5,Germany,FC Barcelona,14,0,0,0,1,0,0,0,0
75,David Alaba,Centre-Back,29,49.5,Austria,Real Madrid,15,1,0,3,1,0,0,0,0
76,Jamal Musiala,Attacking Midfield,18,45.0,Germany,Bayern Munich,16,4,0,4,0,0,0,12,4
77,Mason Greenwood,Right Winger,20,45.0,England,Manchester United,14,4,0,1,2,0,0,2,8
78,Pau Torres,Centre-Back,24,45.0,Spain,Villarreal CF,15,1,0,0,1,0,0,0,0
79,Ferran Torres,Right Winger,21,45.0,Spain,Manchester City,7,3,0,1,0,0,0,0,5
80,Vinícius Júnior,Left Winger,21,45.0,Brazil,Real Madrid,16,9,0,7,3,0,0,2,6
81,Dušan Vlahovic,Centre-Forward,21,45.0,Serbia,ACF Fiorentina,15,12,0,3,2,0,0,1,1
82,Theo Hernández,Left-Back,24,45.0,France,AC Milan,12,1,0,3,2,1,0,2,1
83,Christian Pulisic,Right Winger,23,45.0,United States,Chelsea FC,4,1,0,0,0,0,0,3,1
84,James Maddison,Attacking Midfield,24,45.0,England,Leicester City,16,1,0,1,1,0,0,6,9
85,Dani Olmo,Attacking Midfield,23,45.0,Spain,RB Leipzig,7,0,0,1,0,0,0,3,4
86,Ferland Mendy,Left-Back,26,45.0,France,Real Madrid,6,0,0,0,2,0,0,1,2
87,Ousmane Dembélé,Right Winger,24,45.0,France,FC Barcelona,1,0,0,0,0,0,0,1,0
88,Ederson,Goalkeeper,28,45.0,Brazil,Manchester City,14,0,0,0,2,0,0,0,0
89,Paulo Dybala,Second Striker,28,45.0,Argentina,Juventus FC,11,6,0,4,1,0,0,1,5
90,Piotr Zielinski,Attacking Midfield,27,45.0,Poland,SSC Napoli,14,3,0,2,0,0,0,3,11
91,Harry Maguire,Centre-Back,28,45.0,England,Manchester United,13,1,0,0,3,0,0,0,1
92,Antoine Griezmann,Second Striker,30,45.0,France,Atlético de Madrid,15,5,0,1,1,0,1,3,6
93,Stefan de Vrij,Centre-Back,29,45.0,Netherlands,Inter Milan,15,1,1,0,1,0,0,0,3
94,Lorenzo Insigne,Left Winger,30,43.2,Italy,SSC Napoli,14,5,0,4,0,0,0,0,13
95,Kalidou Koulibaly,Centre-Back,30,43.2,Senegal,SSC Napoli,15,2,0,1,2,0,1,0,0
96,Christopher Nkunku,Attacking Midfield,24,42.3,France,RB Leipzig,17,11,0,7,0,0,0,1,7
97,Reece James,Right-Back,21,40.5,England,Chelsea FC,12,4,0,4,2,0,1,3,1
98,Tanguy Ndombélé,Central Midfield,24,40.5,France,Tottenham Hotspur,11,2,0,0,2,0,0,4,5
99,Fabián Ruiz,Central Midfield,25,40.5,Spain,SSC Napoli,15,3,0,3,2,0,0,1,4
100,Diogo Jota,Left Winger,24,40.5,Portugal,Liverpool FC,15,5,0,3,2,0,0,4,8
101,Diego Carlos,Centre-Back,28,40.5,Brazil,Sevilla FC,16,3,0,0,3,1,0,0,1
102,Caglar Söyüncü,Centre-Back,25,40.5,Turkey,Leicester City,18,1,0,0,3,0,0,1,1
103,Hirving Lozano,Right Winger,26,40.5,Mexico,SSC Napoli,17,3,0,3,1,0,0,8,9
104,Dominic Calvert-Lewin,Centre-Forward,24,40.5,England,Everton FC,3,3,0,0,0,0,0,0,2
105,Lorenzo Pellegrini,Central Midfield,25,40.5,Italy,AS Roma,16,8,0,3,2,0,0,1,4
106,Lucas Hernández,Centre-Back,25,40.5,France,Bayern Munich,12,0,0,0,2,0,0,1,4
107,Aymeric Laporte,Centre-Back,27,40.5,Spain,Manchester City,11,1,0,0,4,0,1,0,2
108,Memphis Depay,Centre-Forward,27,40.5,Netherlands,FC Barcelona,16,6,0,2,1,0,0,0,2
109,Wilfried Zaha,Left Winger,29,40.5,Cote d'Ivoire,Crystal Palace,11,4,0,1,1,0,0,1,0
110,Álvaro Morata,Centre-Forward,29,40.5,Spain,Juventus FC,14,4,0,1,2,0,0,3,8
111,Jorginho,Defensive Midfield,29,40.5,Italy,Chelsea FC,15,3,0,1,0,0,0,3,4
112,Mateo Kovacic,Central Midfield,27,40.5,Croatia,Chelsea FC,13,1,0,5,1,0,0,1,3
113,Cristiano Ronaldo,Centre-Forward,36,40.5,Portugal,Manchester United,14,10,0,1,4,0,0,2,3
114,Giovanni Reyna,Attacking Midfield,19,37.8,United States,Borussia Dortmund,5,2,0,1,0,0,0,0,5
115,Moussa Diaby,Left Winger,22,37.8,France,Bayer 04 Leverkusen,16,6,0,4,7,0,0,0,8
116,Tomas Soucek,Defensive Midfield,26,37.8,Czech Republic,West Ham United,18,2,1,1,2,0,0,2,2
117,Rúben Neves,Defensive Midfield,24,37.8,Portugal,Wolverhampton Wanderers,13,1,0,0,4,0,0,2,1
118,Luke Shaw,Left-Back,26,37.8,England,Manchester United,14,0,0,2,5,0,0,0,2
119,Riyad Mahrez,Right Winger,30,37.8,Algeria,Manchester City,15,8,0,2,0,0,0,6,3
120,Nuno Mendes,Left-Back,19,36.0,Portugal,Paris Saint-Germain,16,0,1,1,4,0,0,5,4
121,Edmond Tapsoba,Centre-Back,22,36.0,Burkina Faso,Bayer 04 Leverkusen,7,0,0,0,1,0,0,2,0
122,Aaron Wan-Bissaka,Right-Back,23,36.0,England,Manchester United,14,0,0,0,2,0,1,0,0
123,Wesley Fofana,Centre-Back,20,36.0,France,Leicester City,0,0,0,0,0,0,0,0,0
124,Youssef En-Nesyri,Centre-Forward,24,36.0,Morocco,Sevilla FC,9,3,0,2,1,1,0,3,4
125,Éder Militão,Centre-Back,23,36.0,Brazil,Real Madrid,16,0,0,0,1,0,0,0,1
126,Nicolò Zaniolo,Right Winger,22,36.0,Italy,AS Roma,15,1,0,2,3,1,0,2,10
127,Carlos Soler,Central Midfield,24,36.0,Spain,Valencia CF,10,5,0,2,2,0,0,3,5
128,Kalvin Phillips,Defensive Midfield,25,36.0,England,Leeds United,11,1,0,1,1,0,0,0,0
129,Alexander Isak,Centre-Forward,22,36.0,Sweden,Real Sociedad,13,5,0,1,2,0,0,2,11
130,Mikel Merino,Central Midfield,25,36.0,Spain,Real Sociedad,18,3,0,2,4,0,0,0,3
131,Ben White,Centre-Back,24,36.0,England,Arsenal FC,10,0,0,0,1,0,0,0,1
132,Martin Ødegaard,Attacking Midfield,22,36.0,Norway,Arsenal FC,10,1,0,1,1,0,0,3,4
133,Fikayo Tomori,Centre-Back,23,36.0,England,AC Milan,16,0,1,0,4,0,0,1,1
134,Presnel Kimpembe,Centre-Back,26,36.0,France,Paris Saint-Germain,17,0,0,0,3,0,0,1,2
135,Ángel Correa,Second Striker,26,36.0,Argentina,Atlético de Madrid,16,3,0,3,2,0,0,6,7
136,Rodrigo de Paul,Central Midfield,27,36.0,Argentina,Atlético de Madrid,15,0,0,2,2,0,0,6,6
137,Thomas Partey,Defensive Midfield,28,36.0,Ghana,Arsenal FC,8,1,0,0,2,0,0,1,3
138,Thomas Lemar,Attacking Midfield,26,36.0,France,Atlético de Madrid,9,2,0,2,2,0,0,2,6
139,André Silva,Centre-Forward,26,36.0,Portugal,RB Leipzig,19,5,0,5,0,0,0,6,10
140,Gerard Moreno,Centre-Forward,29,36.0,Spain,Villarreal CF,8,3,0,1,3,0,0,0,1
141,Raphaël Guerreiro,Left-Back,27,36.0,Portugal,Borussia Dortmund,9,3,0,0,1,0,0,2,3
142,Pierre-Emile Höjbjerg,Central Midfield,26,36.0,Denmark,Tottenham Hotspur,17,2,0,1,0,0,0,4,2
143,Marcelo Brozovic,Defensive Midfield,29,36.0,Croatia,Inter Milan,16,1,0,2,3,0,0,0,6
144,Saúl Ñíguez,Central Midfield,26,36.0,Spain,Chelsea FC,8,0,0,1,0,0,0,3,2
145,Yannick Carrasco,Left Winger,28,36.0,Belgium,Atlético de Madrid,16,2,0,2,3,0,0,2,7
146,Roberto Firmino,Centre-Forward,30,36.0,Brazil,Liverpool FC,11,6,0,1,0,0,0,6,4
147,Luis Alberto,Central Midfield,29,36.0,Spain,SS Lazio,16,2,0,4,2,0,0,4,8
148,Ilkay Gündogan,Central Midfield,31,36.0,Germany,Manchester City,12,2,0,2,1,0,0,2,3
149,Ismaël Bennacer,Defensive Midfield,23,34.2,Algeria,AC Milan,16,1,0,1,1,0,0,8,4
150,Tammy Abraham,Centre-Forward,24,34.2,England,AS Roma,17,5,0,2,4,0,0,3,7
151,Ben Chilwell,Left-Back,24,34.2,England,Chelsea FC,10,3,0,0,0,0,0,3,1
152,Hakim Ziyech,Attacking Midfield,28,34.2,Morocco,Chelsea FC,10,2,0,1,2,0,0,2,7
153,Ciro Immobile,Centre-Forward,31,34.2,Italy,SS Lazio,15,11,0,2,2,0,0,0,7
154,Jonathan David,Centre-Forward,21,31.5,Canada,LOSC Lille,18,9,0,0,0,0,0,3,9
155,Pedro Neto,Left Winger,21,31.5,Portugal,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0
156,Douglas Luiz,Defensive Midfield,23,31.5,Brazil,Aston Villa,8,0,0,2,2,0,0,0,3
157,Lucas Paquetá,Attacking Midfield,24,31.5,Brazil,Olympique Lyon,17,6,0,3,3,0,0,5,4
158,Dejan Kulusevski,Right Winger,21,31.5,Sweden,Juventus FC,15,1,0,1,2,0,0,13,1
159,Amine Gouiri,Centre-Forward,21,31.5,France,OGC Nice,17,8,0,6,1,0,0,1,6
160,Aurélien Tchouaméni,Defensive Midfield,21,31.5,France,AS Monaco,20,2,0,0,5,0,0,1,4
161,Rodrygo,Right Winger,20,31.5,Brazil,Real Madrid,14,2,0,1,2,0,0,9,5
162,Harvey Barnes,Left Midfield,23,31.5,England,Leicester City,13,3,0,2,2,0,0,2,6
163,Houssem Aouar,Central Midfield,23,31.5,France,Olympique Lyon,17,5,0,2,0,0,0,1,6
164,Leon Bailey,Left Winger,24,31.5,Jamaica,Aston Villa,6,1,0,2,1,0,0,4,2
165,Moise Kean,Centre-Forward,21,31.5,Italy,Juventus FC,11,2,0,0,1,0,1,7,3
