,Name,Position,Age,Markey Value In Millions(£),Country,Club,Matches,Goals,Own Goals,Assists,Yellow Cards,Second Yellow Cards,Red Cards,Number Of Substitute In,Number Of Substitute Out
333,Karim Benzema,Centre-Forward,33,22.5,France,Real Madrid,15,14,0,8,0,0,0,0,4
334,Nicolás González,Left Winger,23,21.6,Argentina,ACF Fiorentina,9,3,0,2,0,1,0,2,4
335,Amadou Haidara,Central Midfield,23,21.6,Mali,RB Leipzig,16,3,0,0,1,0,0,4,7
336,Rafa Silva,Right Winger,28,21.6,Portugal,SL Benfica,20,8,0,3,4,0,0,7,9
337,Otávio,Attacking Midfield,26,21.6,Portugal,FC Porto,17,1,0,5,5,0,0,1,13
338,Victor Lindelöf,Centre-Back,27,21.6,Sweden,Manchester United,12,0,0,2,1,0,0,1,0
339,Giovanni Di Lorenzo,Right-Back,28,21.6,Italy,SSC Napoli,16,1,0,1,3,0,0,0,0
340,Odilon Kossounou,Centre-Back,20,20.7,Cote d'Ivoire,Bayer 04 Leverkusen,14,0,0,2,1,0,0,2,1
341,Rayan Cherki,Attacking Midfield,18,20.7,France,Olympique Lyon,17,6,0,3,2,0,0,9,7
342,Brahim Díaz,Attacking Midfield,22,20.7,Spain,AC Milan,11,4,0,2,3,0,0,1,9
343,Mario Pasalic,Central Midfield,26,20.7,Croatia,Atalanta BC,16,3,0,5,1,0,0,5,9
344,Marten de Roon,Defensive Midfield,30,20.7,Netherlands,Atalanta BC,12,1,0,0,3,0,0,0,1
345,Andrej Kramaric,Second Striker,30,20.7,Croatia,TSG 1899 Hoffenheim,13,4,0,6,2,0,0,0,2
346,Gabriel Martinelli,Left Winger,20,19.8,Brazil,Arsenal FC,9,1,0,1,0,0,0,5,3
347,Dwight McNeil,Left Winger,21,19.8,England,Burnley FC,13,0,0,1,2,0,0,0,3
348,Max Aarons,Right-Back,21,19.8,England,Norwich City,15,0,1,0,5,0,0,1,1
349,David Neres,Right Winger,24,19.8,Brazil,Ajax Amsterdam,15,3,0,1,0,0,0,13,1
350,Mattéo Guendouzi,Central Midfield,22,19.8,France,Olympique Marseille,17,3,0,3,2,0,0,1,5
351,Cody Gakpo,Left Winger,22,19.8,Netherlands,PSV Eindhoven,19,7,0,8,2,0,0,2,11
352,Matty Cash,Right-Back,24,19.8,Poland,Aston Villa,12,1,0,1,2,0,0,0,3
353,Francisco Trincão,Right Winger,21,19.8,Portugal,Wolverhampton Wanderers,10,1,0,0,0,0,0,2,7
354,Marash Kumbulla,Centre-Back,21,19.8,Albania,AS Roma,6,0,0,0,1,0,0,3,1
355,Sasa Kalajdzic,Centre-Forward,24,19.8,Austria,VfB Stuttgart,1,0,0,0,0,0,0,1,0
356,Patson Daka,Centre-Forward,23,19.8,Zambia,Leicester City,11,5,0,1,0,0,0,6,3
357,Giovani Lo Celso,Central Midfield,25,19.8,Argentina,Tottenham Hotspur,14,1,0,1,0,0,0,6,4
358,Guido Rodríguez,Defensive Midfield,27,19.8,Argentina,Real Betis Balompié,15,0,0,2,2,1,0,4,1
359,Joe Willock,Central Midfield,22,19.8,England,Newcastle United,10,0,0,0,0,0,0,3,6
360,Todd Cantwell,Left Midfield,23,19.8,England,Norwich City,7,1,0,0,2,0,0,2,1
361,Christoph Baumgartner,Attacking Midfield,22,19.8,Austria,TSG 1899 Hoffenheim,10,3,0,1,2,0,0,2,7
362,Malcom,Right Winger,24,19.8,Brazil,Zenit St. Petersburg,15,3,0,5,1,0,0,3,7
363,Orel Mangala,Defensive Midfield,23,19.8,Belgium,VfB Stuttgart,8,1,0,0,1,0,0,2,4
364,Ramy Bensebaini,Left-Back,26,19.8,Algeria,Borussia Mönchengladbach,6,2,0,1,1,0,0,1,0
365,Steven Bergwijn,Left Winger,24,19.8,Netherlands,Tottenham Hotspur,9,0,0,1,1,0,0,3,5
366,Kasper Dolberg,Centre-Forward,24,19.8,Denmark,OGC Nice,8,3,0,0,0,0,0,3,4
367,Paul Onuachu,Centre-Forward,27,19.8,Nigeria,KRC Genk,20,12,0,0,2,0,0,2,11
368,Joachim Andersen,Centre-Back,25,19.8,Denmark,Crystal Palace,12,0,0,0,3,0,0,1,0
369,Dean Henderson,Goalkeeper,24,19.8,England,Manchester United,3,0,0,0,0,0,0,0,0
370,Alex Iwobi,Left Winger,25,19.8,Nigeria,Everton FC,11,2,0,1,0,0,0,4,5
371,Jonathan Tah,Centre-Back,25,19.8,Germany,Bayer 04 Leverkusen,16,0,0,1,2,0,0,0,0
372,Alejandro Grimaldo,Left-Back,26,19.8,Spain,SL Benfica,19,2,0,3,1,0,0,2,7
373,Fred,Central Midfield,28,19.8,Brazil,Manchester United,12,1,1,0,4,0,0,1,6
374,Patrick Bamford,Centre-Forward,28,19.8,England,Leeds United,6,1,0,3,1,0,0,1,1
375,Eric Dier,Centre-Back,27,19.8,England,Tottenham Hotspur,13,0,1,0,0,0,0,0,1
376,Leandro Paredes,Defensive Midfield,27,19.8,Argentina,Paris Saint-Germain,3,0,0,0,2,0,0,1,1
377,Berat Djimsiti,Centre-Back,28,19.8,Albania,Atalanta BC,10,0,0,0,0,0,0,3,1
378,Jesse Lingard,Attacking Midfield,28,19.8,England,Manchester United,8,2,0,1,0,0,0,7,1
379,Danny Ings,Centre-Forward,29,19.8,England,Aston Villa,9,3,0,2,1,0,0,0,5
380,Allan,Central Midfield,30,19.8,Brazil,Everton FC,11,0,0,1,1,0,0,0,2
381,Callum Wilson,Centre-Forward,29,19.8,England,Newcastle United,7,4,0,0,3,0,0,0,3
382,Granit Xhaka,Defensive Midfield,29,19.8,Switzerland,Arsenal FC,5,0,0,0,0,0,1,0,2
383,Alexandre Lacazette,Centre-Forward,30,19.8,France,Arsenal FC,9,3,0,1,0,0,0,5,3
384,João Palhinha,Defensive Midfield,26,18.9,Portugal,Sporting CP,18,2,0,0,5,0,0,2,5
385,Yussuf Poulsen,Centre-Forward,27,18.9,Denmark,RB Leipzig,15,4,0,3,2,0,0,8,5
386,Thiago Almada,Attacking Midfield,20,18.0,Argentina,Club Atlético Vélez Sarsfield,16,4,0,4,0,0,0,1,11
387,Julián Álvarez,Centre-Forward,21,18.0,Argentina,Club Atlético River Plate,16,15,0,6,1,0,0,3,4
388,Sofiane Diop,Attacking Midfield,21,18.0,France,AS Monaco,24,8,0,6,4,0,0,9,10
389,Pape Sarr,Defensive Midfield,19,18.0,Senegal,FC Metz,13,0,0,1,2,0,0,3,4
390,Pedro Porro,Right-Back,22,18.0,Spain,Sporting CP,15,2,0,2,5,0,0,5,6
391,Darwin Núñez,Centre-Forward,22,18.0,Uruguay,SL Benfica,13,8,0,2,2,0,0,3,8
392,Illan Meslier,Goalkeeper,21,18.0,France,Leeds United,19,0,0,0,1,0,0,0,0
393,Mikkel Damsgaard,Left Winger,21,18.0,Denmark,UC Sampdoria,8,0,0,0,1,0,0,2,4
394,Karim Adeyemi,Centre-Forward,19,18.0,Germany,Red Bull Salzburg,22,15,0,2,3,0,0,2,20
395,Enock Mwepu,Central Midfield,23,18.0,Zambia,Brighton & Hove Albion,8,2,0,2,1,0,0,4,3
396,Musa Barrow,Centre-Forward,23,18.0,The Gambia,Bologna FC 1909,12,4,0,4,0,0,0,2,8
397,Eberechi Eze,Attacking Midfield,23,18.0,England,Crystal Palace,2,0,0,0,0,0,0,0,2
398,Eric García,Centre-Back,20,18.0,Spain,FC Barcelona,13,0,0,0,3,1,1,1,3
399,Aaron Ramsdale,Goalkeeper,23,18.0,England,Arsenal FC,11,0,0,0,0,0,0,0,0
400,Martín Zubimendi,Defensive Midfield,22,18.0,Spain,Real Sociedad,17,0,0,1,3,0,0,3,2
401,Samuel Chukwueze,Right Winger,22,18.0,Nigeria,Villarreal CF,7,1,0,0,1,0,0,7,0
402,Dodô,Right-Back,23,18.0,Brazil,Shakhtar Donetsk,20,0,0,3,1,0,0,1,1
403,Manor Solomon,Left Winger,22,18.0,Israel,Shakhtar Donetsk,20,3,0,2,1,0,0,6,11
404,Marc Guehi,Centre-Back,21,18.0,England,Crystal Palace,17,1,0,0,1,0,0,1,0
405,Hamed Junior Traorè,Attacking Midfield,21,18.0,Cote d'Ivoire,US Sassuolo,11,1,0,2,1,0,0,7,4
406,Yusuf Yazici,Attacking Midfield,24,18.0,Turkey,LOSC Lille,15,1,0,1,3,0,0,11,4
407,Tetê,Right Winger,21,18.0,Brazil,Shakhtar Donetsk,22,7,0,2,4,0,0,7,11
408,Pablo Fornals,Attacking Midfield,25,18.0,Spain,West Ham United,17,4,0,2,3,0,0,5,4
409,Alfonso Pedraza,Left-Back,25,18.0,Spain,Villarreal CF,10,0,0,2,2,0,0,2,7
410,Igor Zubeldia,Centre-Back,24,18.0,Spain,Real Sociedad,11,0,0,2,2,0,0,6,0
411,Mason Holgate,Centre-Back,25,18.0,England,Everton FC,6,0,0,0,0,0,1,1,0
412,Ché Adams,Centre-Forward,25,18.0,Scotland,Southampton FC,10,2,0,1,0,0,0,2,4
413,Gerson,Central Midfield,24,18.0,Brazil,Olympique Marseille,14,1,0,2,0,0,0,4,8
414,Tyler Adams,Defensive Midfield,22,18.0,United States,RB Leipzig,13,0,0,0,5,0,0,3,4
415,Matteo Pessina,Attacking Midfield,24,18.0,Italy,Atalanta BC,9,1,0,0,0,0,0,2,6
416,Takehiro Tomiyasu,Right-Back,23,18.0,Japan,Arsenal FC,11,0,1,0,1,0,0,1,2
417,Jeff Reine-Adélaïde,Attacking Midfield,23,18.0,France,Olympique Lyon,0,0,0,0,0,0,0,0,0
418,Dani Ceballos,Central Midfield,25,18.0,Spain,Real Madrid,1,0,0,0,0,0,0,0,1
419,Nahitan Nández,Right Midfield,25,18.0,Uruguay,Cagliari Calcio,11,0,0,1,3,0,0,1,1
420,Gaetano Castrovilli,Central Midfield,24,18.0,Italy,ACF Fiorentina,9,0,0,1,2,0,0,4,5
421,Kelechi Iheanacho,Centre-Forward,25,18.0,Nigeria,Leicester City,16,3,0,5,1,0,0,8,4
422,Mauro Arambarri,Central Midfield,26,18.0,Uruguay,Getafe CF,10,0,0,0,3,0,0,0,2
423,Yerry Mina,Centre-Back,27,18.0,Colombia,Everton FC,6,0,0,0,1,0,0,1,0
424,Marc Cucurella,Left Midfield,23,18.0,Spain,Brighton & Hove Albion,11,0,0,1,2,0,0,3,2
425,Unai Simón,Goalkeeper,24,18.0,Spain,Athletic Bilbao,11,0,0,0,1,0,0,0,1
426,Luka Jovic,Centre-Forward,23,18.0,Serbia,Real Madrid,9,2,0,1,1,0,0,7,1
427,Alex Telles,Left-Back,28,18.0,Brazil,Manchester United,3,1,0,0,1,0,0,1,2
428,Yeray Álvarez,Centre-Back,26,18.0,Spain,Athletic Bilbao,3,0,0,0,2,0,0,0,0
429,Zeki Celik,Right-Back,24,18.0,Turkey,LOSC Lille,14,0,0,0,4,0,0,1,1
430,Harry Winks,Defensive Midfield,25,18.0,England,Tottenham Hotspur,7,0,0,1,1,0,0,2,1
431,Diego Llorente,Centre-Back,28,18.0,Spain,Leeds United,9,1,0,0,2,0,0,0,4
432,Juan Musso,Goalkeeper,27,18.0,Argentina,Atalanta BC,15,0,0,0,1,0,0,0,0
433,Moussa Dembélé,Centre-Forward,25,18.0,France,Olympique Lyon,6,4,0,1,0,0,0,1,1
434,André Gomes,Central Midfield,28,18.0,Portugal,Everton FC,5,0,0,1,1,0,0,4,1
435,Neal Maupay,Centre-Forward,25,18.0,France,Brighton & Hove Albion,11,4,0,0,3,0,0,2,2
436,Jérémie Boga,Left Winger,24,18.0,Cote d'Ivoire,US Sassuolo,8,0,0,3,0,0,0,1,5
437,Álex Remiro,Goalkeeper,26,18.0,Spain,Real Sociedad,15,0,0,0,0,0,0,0,0
438,Bryan Cristante,Central Midfield,26,18.0,Italy,AS Roma,18,2,0,1,4,0,0,3,0
439,Alessio Romagnoli,Centre-Back,26,18.0,Italy,AC Milan,11,0,0,0,1,0,0,3,1
440,Julian Weigl,Defensive Midfield,26,18.0,Germany,SL Benfica,18,2,0,4,4,0,0,4,3
441,Arkadiusz Milik,Centre-Forward,27,18.0,Poland,Olympique Marseille,9,2,0,0,0,0,0,3,3
442,Héctor Bellerín,Right-Back,26,18.0,Spain,Real Betis Balompié,8,0,1,1,0,0,0,0,0
443,Julian Brandt,Attacking Midfield,25,18.0,Germany,Borussia Dortmund,13,2,0,3,0,0,0,3,7
444,Tiemoué Bakayoko,Defensive Midfield,27,18.0,France,AC Milan,6,0,0,0,2,0,0,6,1
445,Filip Kostic,Left Midfield,29,18.0,Serbia,Eintracht Frankfurt,13,2,0,5,1,0,0,1,2
446,Danilo,Right-Back,30,18.0,Brazil,Juventus FC,13,0,0,1,4,0,0,0,1
447,Bertrand Traoré,Right Winger,26,18.0,Burkina Faso,Aston Villa,5,0,0,0,0,0,0,4,1
448,Erik Lamela,Right Winger,29,18.0,Argentina,Sevilla FC,16,4,0,2,5,0,0,11,3
449,Emil Forsberg,Left Winger,30,18.0,Sweden,RB Leipzig,17,4,0,1,0,0,0,6,7
450,Portu,Right Winger,29,18.0,Spain,Real Sociedad,16,0,0,1,2,0,0,6,9
451,Kieran Trippier,Right-Back,31,18.0,England,Atlético de Madrid,15,0,0,0,1,0,0,3,6
452,James Rodríguez,Attacking Midfield,30,18.0,Colombia,Al-Rayyan SC,3,1,0,1,0,0,0,0,1
453,Julian Draxler,Left Winger,28,18.0,Germany,Paris Saint-Germain,14,2,0,2,1,0,0,8,5
454,Philippe Coutinho,Attacking Midfield,29,18.0,Brazil,FC Barcelona,11,1,0,0,1,0,0,7,4
455,Alex Sandro,Left-Back,30,18.0,Brazil,Juventus FC,15,1,0,1,1,0,0,3,3
456,Sergio Canales,Attacking Midfield,30,18.0,Spain,Real Betis Balompié,15,1,0,3,1,0,0,3,7
457,Jordan Henderson,Central Midfield,31,18.0,England,Liverpool FC,15,2,0,2,1,0,0,2,4
458,Ángel Di María,Right Winger,33,18.0,Argentina,Paris Saint-Germain,9,2,0,3,1,0,0,2,6
459,Josko Gvardiol,Centre-Back,19,17.1,Croatia,RB Leipzig,15,0,0,2,2,0,0,5,3
460,Joakim Maehle,Right-Back,24,17.1,Denmark,Atalanta BC,14,0,0,0,2,0,0,3,3
461,Maximilian Arnold,Central Midfield,27,17.1,Germany,VfL Wolfsburg,16,1,0,2,2,0,0,1,0
462,Mohamed Simakan,Centre-Back,21,16.2,France,RB Leipzig,16,0,0,0,3,0,0,2,5
463,Rayan Aït Nouri,Left-Back,20,16.2,France,Wolverhampton Wanderers,6,0,0,2,1,0,0,1,3
464,Amad Diallo,Right Winger,19,16.2,Cote d'Ivoire,Manchester United,2,2,0,1,0,0,0,0,0
465,Tariq Lamptey,Right-Back,21,16.2,England,Brighton & Hove Albion,5,0,0,0,1,0,0,3,2
466,Noni Madueke,Right Winger,19,16.2,England,PSV Eindhoven,17,6,0,1,0,0,0,2,15
467,Khvicha Kvaratskhelia,Left Winger,20,16.2,Georgia,Rubin Kazan,15,1,0,2,4,0,0,3,7
468,Wendel,Central Midfield,24,16.2,Brazil,Zenit St. Petersburg,20,4,0,2,3,0,0,0,13
469,William Saliba,Centre-Back,20,16.2,France,Olympique Marseille,20,0,0,0,3,0,0,0,1
470,Marcos Senesi,Centre-Back,24,16.2,Argentina,Feyenoord Rotterdam,18,0,0,3,2,0,0,0,5
471,Youssoufa Moukoko,Centre-Forward,16,16.2,Germany,Borussia Dortmund,11,3,0,1,2,0,0,7,3
472,Luiz Felipe,Centre-Back,24,16.2,Brazil,SS Lazio,13,0,0,0,4,0,1,0,2
473,Nicolás De La Cruz,Central Midfield,24,16.2,Uruguay,Club Atlético River Plate,11,4,0,1,1,0,0,2,3
474,Ryan Sessegnon,Left Midfield,21,16.2,England,Tottenham Hotspur,3,0,0,0,0,0,0,0,3
475,Axel Disasi,Centre-Back,23,16.2,France,AS Monaco,16,1,0,0,3,0,0,3,4
476,Alexis Saelemaekers,Right Winger,22,16.2,Belgium,AC Milan,16,0,0,2,2,0,0,4,7
477,Yangel Herrera,Central Midfield,23,16.2,Venezuela,RCD Espanyol Barcelona,4,0,0,0,1,0,0,3,1
478,Cengiz Ünder,Right Winger,24,16.2,Turkey,Olympique Marseille,15,5,0,0,0,1,0,1,5
479,Kyle Walker-Peters,Right-Back,24,16.2,England,Southampton FC,9,1,0,1,2,0,0,1,1
480,Noussair Mazraoui,Right-Back,24,16.2,Morocco,Ajax Amsterdam,16,4,0,3,1,0,0,0,5
481,Umar Sadiq,Centre-Forward,24,16.2,Nigeria,UD Almería,15,7,0,6,5,0,0,1,7
482,Sander Berge,Defensive Midfield,23,16.2,Norway,Sheffield United,6,1,0,0,0,0,0,1,1
483,Manuel Lazzari,Right Midfield,27,16.2,Italy,SS Lazio,13,1,0,0,2,0,0,5,4
484,Éverton,Left Winger,25,16.2,Brazil,SL Benfica,20,3,1,4,3,0,0,10,6
485,Daniel James,Left Winger,24,16.2,Wales,Leeds United,12,0,0,1,0,0,0,1,6
486,Lucas Torreira,Defensive Midfield,25,16.2,Uruguay,ACF Fiorentina,9,0,0,0,0,0,0,2,6
487,Tom Davies,Central Midfield,23,16.2,England,Everton FC,7,1,0,1,0,0,0,4,1
488,Renato Tapia,Defensive Midfield,26,16.2,Peru,Celta de Vigo,11,0,0,0,5,0,0,1,7
489,David Raya,Goalkeeper,26,16.2,Spain,Brentford FC,9,0,0,0,0,0,0,0,0
490,Gregor Kobel,Goalkeeper,23,16.2,Switzerland,Borussia Dortmund,18,0,0,0,0,0,0,0,1
491,Wilmar Barrios,Defensive Midfield,28,16.2,Colombia,Zenit St. Petersburg,16,0,0,1,2,0,0,1,4
492,Gelson Martins,Right Winger,26,16.2,Portugal,AS Monaco,18,3,0,1,0,0,0,2,16
493,Rob Holding,Centre-Back,26,16.2,England,Arsenal FC,5,0,0,0,2,0,0,0,1
494,Adam Armstrong,Centre-Forward,24,16.2,England,Southampton FC,11,2,0,2,0,0,0,1,2
495,Giorgian de Arrascaeta,Attacking Midfield,27,16.2,Uruguay,Clube de Regatas do Flamengo,0,0,0,0,0,0,0,0,0
496,Ayoze Pérez,Second Striker,28,16.2,Spain,Leicester City,8,1,0,3,0,0,1,2,5
497,Alex Meret,Goalkeeper,24,16.2,Italy,SSC Napoli,5,0,0,0,0,0,0,0,0
498,Duje Caleta-Car,Centre-Back,25,16.2,Croatia,Olympique Marseille,8,0,0,0,2,0,0,0,2
499,Aritz Elustondo,Centre-Back,27,16.2,Spain,Real Sociedad,15,3,0,1,4,0,0,1,1
